chromatin_code,motif_type,Motif Type,A,B,C,D,p_value,real_count,random_mean_count,log_fold_change
1000110001.00,3221,IV,repressed,repressed,weak,weak,0,52,2.07,2.83
1000020001,3221,,weak,repressed,weak,weak,0,12,2.5,1.232143681
1000020010,3221,,weak,repressed,repressed,weak,0,30,1.444444444,2.507379506
1000021000,3221,,weak,repressed,active,weak,0,24,1.571428571,2.233592222
1000110010.00,3221,IV,repressed,repressed,repressed,weak,0,138,2.00,3.83
1000111000.00,3221,IV,repressed,repressed,active,weak,0,53,1.67,2.99
1000110100,3221,,repressed,repressed,poised,weak,0,9,0,2.197224577
1000200001.00,3221,IV,repressed,repressed,weak,repressed,0,59,1.22,3.28
1000200010.00,3221,IV,repressed,repressed,repressed,repressed,0,223,2.71,4.10
1010010001.00,3221,IV,active,repressed,weak,weak,0,56,2.20,2.86
1000200100,3221,,repressed,repressed,poised,repressed,0,9,1,1.504077397
1000201000,3221,,repressed,repressed,active,repressed,0,45,1.756756757,2.792607589
1001010001,3221,,poised,repressed,weak,weak,0.002,1,5,-1.791759469
1001010010,3221,,poised,repressed,repressed,weak,0,4,0,1.386294361
1001011000,3221,,poised,repressed,active,weak,0,4,1,0.693147181
1001100001,3221,,poised,repressed,weak,repressed,0,2,0,0.693147181
1001100010,3221,,poised,repressed,repressed,repressed,0,9,2,1.098612289
1001101000,3221,,poised,repressed,active,repressed,0.002,1,1,-0.693147181
1002000010,3221,,poised,repressed,repressed,poised,0,1,0,0
1010010010.00,3221,IV,active,repressed,repressed,weak,0,62,1.48,3.22
1010011000.00,3221,IV,active,repressed,active,weak,0,84,1.60,3.48
1010100010.00,3221,IV,active,repressed,repressed,repressed,0,117,1.82,3.72
1010100001,3221,,active,repressed,weak,repressed,0,49,1.571428571,2.947358689
1010101000.00,3221,IV,active,repressed,active,repressed,0,74,2.13,3.16
1010100100,3221,,active,repressed,poised,repressed,0,2,1,0
1020001000.00,3221,IV,active,repressed,active,active,0,81,2.00,3.30
1011000010,3221,,active,repressed,repressed,poised,0.004,1,1,-0.693147181
1011001000,3221,,active,repressed,active,poised,0,7,4,0.336472237
1020000001,3221,,active,repressed,weak,active,0,37,1.75,2.599317001
1020000010,3221,,active,repressed,repressed,active,0,47,1.210526316,3.056916963
100000110010.00,3221,IV,repressed,active,repressed,weak,0,74,1.86,3.25
1100020000,2211,,repressed,weak,weak,weak,1,73,225.314,-1.131463974
1100110000,2211,,repressed,repressed,weak,weak,1,287,963.316,-1.211936826
1100200000,2211,,repressed,repressed,repressed,weak,1,272,1017.65,-1.320431434
1101010000,2211,,repressed,poised,weak,weak,0.822,13,20.934,-0.523088587
1101100000,2211,,repressed,poised,repressed,weak,0.73,35,42.778,-0.223783347
1102000000,2211,,repressed,poised,poised,weak,0.212,1,2.113207547,-1.13565356
1110010000,2211,,repressed,active,weak,weak,1,277,655.412,-0.862771134
1110100000,2211,,repressed,active,repressed,weak,1,320,1398.782,-1.475750793
1111000000,2211,,repressed,active,poised,weak,0.94,16,29.07,-0.630939275
1120000000,2211,,repressed,active,active,weak,1,184,473.486,-0.947296355
1200000001,3111,,repressed,weak,weak,weak,1,54,130.712,-0.891633674
1200000010,3111,,repressed,weak,weak,repressed,1,74,280.156,-1.334844582
1200000100,3111,,repressed,weak,weak,poised,0.776,3,6.461052632,-0.911084219
1200001000,3111,,repressed,weak,weak,active,1,96,190.51,-0.690591835
2000020000,2211,,repressed,weak,weak,repressed,1,52,240.36,-1.535045876
2000110000,2211,,repressed,repressed,weak,repressed,1,295,1020.526,-1.24207751
2000200000,2211,,repressed,repressed,repressed,repressed,1,569,1080.38,-0.642112848
2001010000,2211,,repressed,poised,weak,repressed,0.97,8,21.664,-1.041336221
2001100000,2211,,repressed,poised,repressed,repressed,0.198,58,45.054,0.23062839
2002000000,2211,,repressed,poised,poised,repressed,0.126,2,2.490909091,-0.557015006
2010010000,2211,,repressed,active,weak,repressed,1,144,698.21,-1.580137827
2010100000,2211,,repressed,active,repressed,repressed,1,284,1483.342,-1.653752617
2011000000,2211,,repressed,active,poised,repressed,0.986,12,30.748,-0.972923081
2020000000,2211,,repressed,active,active,repressed,1,97,504.564,-1.650963659
2100000001,3111,,repressed,repressed,weak,weak,1,81,279.562,-1.24234558
2100000010,3111,,repressed,repressed,weak,repressed,1,200,595.446,-1.092671343
2100000100,3111,,repressed,repressed,weak,poised,0.652,9,12.46693387,-0.40301276
2100001000,3111,,repressed,repressed,weak,active,1,115,407.904,-1.268548281
3000000001,3111,,repressed,repressed,repressed,weak,1,57,198.032,-1.250414348
3000000010,3111,,repressed,repressed,repressed,repressed,0.998,305,419.338,-0.320747373
3000000100,3111,,repressed,repressed,repressed,poised,0.114,16,8.742393509,0.496101895
3000001000,3111,,repressed,repressed,repressed,active,1,66,290.144,-1.484163248
10000020010,3221,,weak,poised,repressed,weak,0,2,0,0.693147181
10000110010,3221,,repressed,poised,repressed,weak,0,6,1,1.098612289
10000200001,3221,,repressed,poised,weak,repressed,0,2,1,0
10000200010,3221,,repressed,poised,repressed,repressed,0,5,1,0.916290732
10000201000,3221,,repressed,poised,active,repressed,0,2,0,0.693147181
10001100010,3221,,poised,poised,repressed,repressed,0,2,0,0.693147181
10010010001,3221,,active,poised,weak,weak,0,2,0,0.693147181
10010010010,3221,,active,poised,repressed,weak,0,4,0,1.386294361
10010011000,3221,,active,poised,active,weak,0.002,1,1,-0.693147181
10010100001,3221,,active,poised,weak,repressed,0,2,0,0.693147181
10010100010,3221,,active,poised,repressed,repressed,0,5,1,0.916290732
10010101000,3221,,active,poised,active,repressed,0.004,1,1,-0.693147181
10020000001,3221,,active,poised,weak,active,0,1,0,0
10020001000,3221,,active,poised,active,active,0,3,0,1.098612289
10100020000,2211,,poised,weak,weak,weak,0.512,5,4.944558522,-0.173038354
10100110000,2211,,poised,repressed,weak,weak,0.994,8,19.818,-0.956376455
10100200000,2211,,poised,repressed,repressed,weak,0.99,10,21.306,-0.802270608
10101010000,2211,,poised,poised,weak,weak,0.28,1,1.585714286,-0.950001789
10101100000,2211,,poised,poised,repressed,weak,0.462,1,2.051948052,-1.115780092
10110010000,2211,,poised,active,weak,weak,0.732,11,13.85,-0.300104592
10110100000,2211,,poised,active,repressed,weak,1,6,28.888,-1.605697593
10120000000,2211,,poised,active,active,weak,0.706,8,9.988,-0.317362227
10200000001,3111,,poised,weak,weak,weak,0.886,1,3.090293454,-1.408616717
10200000010,3111,,poised,weak,weak,repressed,0.62,5,5.918864097,-0.324813696
10200001000,3111,,poised,weak,weak,active,0.938,1,4.151385928,-1.639265791
11000020000,2211,,poised,weak,weak,repressed,0.824,6,10.34869739,-0.637343501
11000110000,2211,,poised,repressed,weak,repressed,0.996,20,42.4,-0.774727168
11000200000,2211,,poised,repressed,repressed,repressed,0.928,31,44.798,-0.390253218
11001100000,2211,,poised,poised,repressed,repressed,0.098,6,3.23364486,0.348696178
11010010000,2211,,poised,active,weak,repressed,1,6,29.404,-1.622814709
11010100000,2211,,poised,active,repressed,repressed,1,18,61.584,-1.246137896
11020000000,2211,,poised,active,active,repressed,0.998,6,21.306,-1.313096231
11100000001,3111,,poised,repressed,weak,weak,0.622,10,11.85,-0.250758718
11100000010,3111,,poised,repressed,weak,repressed,0.816,18,24.344,-0.342170258
11100000100,3111,,poised,repressed,weak,poised,0.232,1,2.25862069,-1.181304005
11100001000,3111,,poised,repressed,weak,active,0.948,7,16.39679359,-0.910375764
12000000001,3111,,poised,repressed,repressed,weak,0.646,10,12.722,-0.316415291
12000000010,3111,,poised,repressed,repressed,repressed,0.804,18,26.146,-0.410857948
12000001000,3111,,poised,repressed,repressed,active,0.944,9,18.142,-0.754660296
20000200000,2211,,poised,repressed,repressed,poised,0,5,1.272251309,0.788666806
20010100000,2211,,poised,active,repressed,poised,0.464,1,1.38362069,-0.86862063
20100000010,3111,,poised,poised,weak,repressed,0.214,1,1.476635514,-0.906900992
21000000010,3111,,poised,poised,repressed,repressed,0.326,1,1.705521472,-0.995294675
1E+11,3221,,weak,active,weak,weak,0,24,1.333333333,2.33075597
1E+11,3221,,weak,active,repressed,weak,0,18,1.75,1.878770846
1E+11,3221,,weak,active,poised,weak,0,2,1,0
1E+11,3221,,weak,active,active,weak,0,36,1.5,2.667228207
1E+11,3221,,repressed,active,weak,weak,0,27,2,2.197224577
100000111000.00,3221,IV,repressed,active,active,weak,0,60,1.38,3.23
1E+11,3221,,repressed,active,poised,weak,0,3,0,1.098612289
100000200010.00,3221,IV,repressed,active,repressed,repressed,0,59,2.24,2.90
1E+11,3221,,repressed,active,weak,repressed,0,39,1.285714286,2.836883073
100010010001.00,3221,IV,active,active,weak,weak,0,63,1.63,3.18
1E+11,3221,,repressed,active,poised,repressed,0,4,2,0.287682072
1E+11,3221,,repressed,active,active,repressed,0,44,1.357142857,2.926739402
1.00001E+11,3221,,poised,active,weak,weak,0,1,0,0
1.00001E+11,3221,,poised,active,repressed,weak,0,1,0,0
1.00001E+11,3221,,poised,active,active,weak,0,5,0,1.609437912
1.00001E+11,3221,,poised,active,weak,repressed,0,1,0,0
1.00001E+11,3221,,poised,active,repressed,repressed,0.002,1,1,-0.693147181
1.00001E+11,3221,,poised,active,poised,repressed,0,1,0,0
1.00001E+11,3221,,poised,active,active,repressed,0,4,1,0.693147181
100010010010.00,3221,IV,active,active,repressed,weak,0,60,1.44,3.20
